Image,F1,Jaccard,Recall,Precision
1375.png,0.8365122615803814,0.7189695550351288,0.9839743589743589,0.7274881516587678
681.png,0.9831181727904666,0.966796875,0.9805863708399366,0.985663082437276
384.png,0.9735553379040155,0.9484732824427481,0.9900398406374502,0.9576107899807321
2154.png,0.0,0.0,0.0,0.0
1657.png,0.935672514619883,0.8791208791208791,0.9937888198757764,0.8839779005524862
69.png,0.9516129032258066,0.9076923076923077,0.9614814814814815,0.941944847605225
1568.png,0.9206349206349207,0.8529411764705882,0.9398148148148148,0.9022222222222223
222.png,0.9807453416149067,0.9622181596587447,0.9693063228974831,0.9924575738529227
269.png,0.9286376274328081,0.8667820069204152,0.943502824858757,0.9142335766423357
3041.png,0.6975088967971529,0.5355191256830601,0.5764705882352941,0.8828828828828829
1043.png,0.9297146833681281,0.8686605981794538,0.8942436412315931,0.9681159420289855
2479.png,0.7876975651431013,0.649753347427766,0.788034188034188,0.7873612297181896
2550.png,0.6777469990766389,0.5125698324022346,0.673394495412844,0.6821561338289963
393.png,0.0,0.0,0.0,0.0
110.png,0.7208931419457735,0.5635910224438903,0.575796178343949,0.9637526652452025
3033.png,0.7444647043500912,0.5929460580912863,0.599287062277207,0.9824682021313166
2233.png,0.803088803088803,0.6709677419354839,0.8761583824768323,0.7412687099073414
2965.png,0.37905236907730677,0.23384615384615384,0.23771224307417338,0.9349736379613357
581.png,0.9785908913974309,0.958079268292683,0.9882075471698113,0.969159599074788
1089.png,0.874074074074074,0.7763157894736842,0.7814569536423841,0.9915966386554622
2627.png,0.0,0.0,0.0,0.0
1411.png,0.9549248747913189,0.9137380191693291,0.9694915254237289,0.9407894736842105
244.png,0.9625275532696547,0.9277620396600567,0.93974175035868,0.9864457831325302
2609.png,0.9013657056145675,0.8204419889502762,0.8526315789473684,0.9560085836909872
855.png,0.8230224684518314,0.6992677824267782,0.9695431472081218,0.7149732620320856
2909.png,0.8200371057513914,0.6949685534591195,0.8113069016152716,0.8289572393098275
1207.png,0.9171974522292994,0.8470588235294118,0.8834355828220859,0.9536423841059603
2593.png,0.9033315128345167,0.8237051792828686,0.8464687819856704,0.968384074941452
184.png,0.6589285714285714,0.49134487350199735,0.8682352941176471,0.5309352517985612
2060.png,0.0,0.0,0.0,0.0
159.png,0.9385796545105565,0.8842676311030742,0.9106145251396648,0.9683168316831683
512.png,0.9770795776461498,0.9551863041289023,0.9663779928680591,0.9880208333333333
2732.png,0.5102286401925391,0.34248788368336025,0.3719298245614035,0.8122605363984674
2994.png,0.0,0.0,0.0,0.0
2394.png,0.4656084656084656,0.30344827586206896,0.3157894736842105,0.8859060402684564
1420.png,0.8986784140969163,0.816,0.8292682926829268,0.9807692307692307
1814.png,0.8759398496240602,0.7792642140468228,0.9748953974895398,0.7952218430034129
782.png,0.9628074385122974,0.9282822440717178,0.9599282296650717,0.9657039711191335
1437.png,0.8932676518883416,0.8071216617210683,0.9987760097919217,0.807920792079208
2300.png,0.3559322033898305,0.21649484536082475,0.7581227436823105,0.23255813953488372
2801.png,0.89344,0.8074031231925969,0.9426063470627954,0.8491484184914841
2418.png,0.8554104477611939,0.7473512632436837,0.7473512632436837,1.0
1955.png,0.6373815676141257,0.46776232616940583,0.4707379134860051,0.9866666666666667
1342.png,0.8154362416107382,0.6883852691218131,0.6903409090909091,0.9959016393442623
1585.png,0.9647326507394767,0.9318681318681319,0.9837587006960556,0.9464285714285714
6.png,0.8693069306930693,0.7688266199649737,0.7867383512544803,0.9712389380530974
718.png,0.6233036967711746,0.45275322909585314,0.4631432545201669,0.9527896995708155
437.png,0.8940397350993378,0.8083832335329342,0.823170731707317,0.9782608695652174
1792.png,0.6021505376344086,0.4307692307692308,0.9333333333333333,0.4444444444444444
1681.png,0.9383697813121273,0.8838951310861424,0.9065300896286812,0.9725274725274725
750.png,0.8701005540734661,0.7700690156193244,0.8033345964380447,0.9489704565801254
1826.png,0.9376218323586744,0.8825688073394495,0.9537343027098479,0.9220447284345048
2061.png,0.8193384223918575,0.6939655172413793,0.7777777777777778,0.8655913978494624
2858.png,0.0379746835443038,0.01935483870967742,0.01935483870967742,1.0
2101.png,0.2612872238232469,0.15027624309392265,0.33415233415233414,0.21451104100946372
1006.png,0.9053177691309987,0.8270142180094787,0.8813131313131313,0.9306666666666666
2808.png,0.6299342105263158,0.4597839135654262,1.0,0.4597839135654262
1803.png,0.8615384615384615,0.7567567567567568,0.7943262411347518,0.9411764705882353
1491.png,0.7033639143730887,0.5424528301886793,0.5450236966824644,0.9913793103448276
3012.png,0.0,0.0,0.0,0.0
2566.png,0.8493975903614458,0.7382198952879581,0.8294117647058824,0.8703703703703703
841.png,0.7736450584484591,0.6308492201039861,0.9877883310719131,0.6358078602620088
2922.png,0.9430485762144053,0.8922345483359746,0.9865654205607477,0.9032085561497326
2359.png,0.7197998570407435,0.5622557230597431,0.600119189511323,0.8991071428571429
1304.png,0.8692052980132451,0.7686676427525623,0.8076923076923077,0.9408602150537635
1063.png,0.8352027610008629,0.717037037037037,0.717037037037037,1.0
769.png,0.8902675455602946,0.8022361984626135,0.9273021001615509,0.8560775540641312
2246.png,0.9257142857142858,0.8617021276595744,0.8940397350993378,0.9597156398104265
2362.png,0.5860349127182044,0.4144620811287478,0.4144620811287478,1.0
550.png,0.8834688346883469,0.7912621359223301,0.815,0.9644970414201184
