epoch,accuracy,dice_coef,loss,lr,val_accuracy,val_dice_coef,val_loss
19,0.995915949344635,0.8748810887336731,0.12511879205703735,1e-04,0.9926535487174988,0.7704575061798096,0.22808848321437836
20,0.996074914932251,0.8823583722114563,0.11764165014028549,1e-04,0.9930412769317627,0.7825754284858704,0.21608737111091614
21,0.996038556098938,0.8828387260437012,0.1171613559126854,1e-04,0.9915010333061218,0.7628006339073181,0.23903755843639374
22,0.9961371421813965,0.8877499103546143,0.11225003749132156,1e-04,0.9924483895301819,0.765876829624176,0.23312193155288696
23,0.9962981343269348,0.8943847417831421,0.10561536997556686,1e-04,0.9927822947502136,0.7714157700538635,0.2272362858057022
24,0.996491014957428,0.9012671709060669,0.09873270243406296,1e-04,0.9930985569953918,0.7902218103408813,0.20935013890266418
25,0.9965828657150269,0.9052698016166687,0.09473007917404175,1e-04,0.992992103099823,0.7958108186721802,0.20327000319957733
26,0.9966679215431213,0.9085845947265625,0.09141554683446884,1e-04,0.9926304817199707,0.7720027565956116,0.22848306596279144
27,0.9964128732681274,0.9019367098808289,0.09806300699710846,1e-04,0.9925840497016907,0.7843655943870544,0.21610315144062042
28,0.996624767780304,0.9094984531402588,0.09050171077251434,1e-04,0.993334174156189,0.8082655668258667,0.19149021804332733
29,0.9962282180786133,0.8975286483764648,0.10247120261192322,1e-04,0.9924415946006775,0.7744302749633789,0.22411879897117615
30,0.9966004490852356,0.9097831845283508,0.0902167558670044,1e-04,0.9931858777999878,0.8076788783073425,0.1937204897403717
31,0.9967095851898193,0.9136376976966858,0.08636213093996048,1e-04,0.9928559064865112,0.7896632552146912,0.21053755283355713
32,0.9969695806503296,0.9220494627952576,0.07795068621635437,1e-04,0.993471622467041,0.8078839778900146,0.19138193130493164
33,0.9970900416374207,0.9262239336967468,0.07377598434686661,1e-04,0.993083655834198,0.7913957238197327,0.20718532800674438
34,0.9970018267631531,0.9237574934959412,0.07624268531799316,1e-04,0.9931074380874634,0.8002005219459534,0.19878333806991577
35,0.9971470832824707,0.9287415742874146,0.0712585300207138,1e-04,0.9934073090553284,0.8080984950065613,0.19111701846122742
36,0.9972975850105286,0.933617889881134,0.0663820281624794,1e-04,0.9932205080986023,0.8039944767951965,0.19506233930587769
37,0.9973856806755066,0.9363792538642883,0.06362088769674301,1e-04,0.9927297234535217,0.781458854675293,0.21757681667804718
38,0.9973602890968323,0.9361067414283752,0.06389344483613968,1e-04,0.992948055267334,0.7910141348838806,0.2076558619737625
39,0.996320903301239,0.9045189023017883,0.09548096358776093,1e-04,0.9922477602958679,0.7812384366989136,0.21645863354206085
40,0.9968295693397522,0.9203280806541443,0.07967174053192139,1e-04,0.99273282289505,0.7919346690177917,0.2068653404712677
41,0.9973242878913879,0.9355287551879883,0.06447102874517441,1e-05,0.9935462474822998,0.814080536365509,0.18463511765003204
42,0.9974936246871948,0.9406746029853821,0.05932542681694031,1e-05,0.9935732483863831,0.8134306073188782,0.18528784811496735
43,0.9975734353065491,0.943085253238678,0.05691492557525635,1e-05,0.9935809373855591,0.8132569193840027,0.18550828099250793
44,0.997631311416626,0.9448276162147522,0.05517228692770004,1e-05,0.9935871958732605,0.8127396106719971,0.18604536354541779
45,0.9976854920387268,0.9464479684829712,0.05355190485715866,1e-05,0.99359530210495,0.8127223253250122,0.18607009947299957
46,0.9977352023124695,0.9479383826255798,0.05206187441945076,1e-05,0.9936041831970215,0.8128085732460022,0.18596623837947845
47,0.9977751970291138,0.9492926001548767,0.050707731395959854,1e-06,0.9936048984527588,0.8128568530082703,0.18591445684432983
48,0.9977851510047913,0.9495181441307068,0.050481636077165604,1e-06,0.993606448173523,0.8131042718887329,0.18567930161952972
49,0.9977909922599792,0.949702262878418,0.05029808357357979,1e-06,0.9936058521270752,0.8131213784217834,0.18566380441188812
50,0.9977974891662598,0.9498742818832397,0.05012543871998787,1e-06,0.9936057925224304,0.8130955696105957,0.18568862974643707
